Matrix Size, Iterations, Threads, Average Runtime
20,10,7,0.000122356
20,10,7,0.000154066
20,10,8,0.000145483
20,10,8,0.000114703
20,10,8,0.000160193
20,10,8,0.000114751
20,10,8,0.000110483
20,10,8,0.000150132
20,10,8,0.000137019
20,10,8,0.000119877
20,10,8,0.000144076
20,10,8,0.000112677
20,10,9,0.000141692
20,10,9,0.000158882
20,10,9,9.99212e-05
20,10,9,0.000133705
20,10,9,0.00013237
20,10,9,0.000128293
20,10,9,0.000153327
20,10,9,0.000118804
20,10,9,0.000168514
20,10,9,0.000128627
20,10,10,0.000119281
20,10,10,0.000147486
20,10,10,0.000103998
20,10,10,0.000118566
20,10,10,7.51972e-05
20,10,10,0.000110722
20,10,10,0.000111914
20,10,10,0.000143695
20,10,10,0.000120616
20,10,10,0.000121403
20,10,11,0.000123191
20,10,11,0.000127125
20,10,11,0.000132942
20,10,11,0.000141954
20,10,11,0.000130296
20,10,11,0.000137019
20,10,11,0.000174594
20,10,11,0.000137615
20,10,11,0.000172114
20,10,11,0.000141096
20,10,12,0.000172472
20,10,12,0.000185084
20,10,12,0.00011363
20,10,12,0.000124073
20,10,12,8.61168e-05
20,10,12,0.000133777
20,10,12,0.00014503
20,10,12,0.000145555
20,10,12,0.000172186
20,10,12,0.000115561
20,10,13,0.000161505
20,10,13,0.000162005
20,10,13,0.000117922
20,10,13,0.000169611
20,10,13,0.000122476
20,10,13,0.000124383
20,10,13,0.000179648
20,10,13,0.000178123
20,10,13,0.000129008
20,10,13,0.000153804
20,10,14,0.000120521
20,10,14,0.000120878
20,10,14,0.00017252
20,10,14,0.000150418
20,10,14,0.000157762
20,10,14,0.00018127
20,10,14,0.000126791
20,10,14,0.000135374
20,10,14,0.000145674
20,10,14,0.000123763
20,10,15,0.000131488
20,10,15,0.000152969
20,10,15,0.000143743
20,10,15,0.000160599
20,10,15,0.000133991
20,10,15,0.000158
20,10,15,0.000177336
20,10,15,0.000123906
20,10,15,0.000128555
20,10,15,0.000144768
20,10,16,0.000154352
20,10,16,0.000169301
20,10,16,0.000187135
20,10,16,0.000139618
20,10,16,0.000144219
20,10,16,0.000183511
20,10,16,0.000136781
20,10,16,0.000177455
20,10,16,0.000162959
20,10,16,0.000168085
100,10,1,0.0030364
100,10,1,0.00301008
100,10,1,0.00302379
100,10,1,0.00302432
100,10,1,0.00304768
100,10,1,0.00300879
100,10,1,0.00301845
100,10,1,0.00301924
100,10,1,0.00304382
100,10,1,0.00302329
100,10,1,0.00304408
100,10,1,0.00302842
100,10,1,0.00305319
100,10,1,0.00301647
100,10,1,0.00303063
100,10,1,0.00302267
100,10,1,0.0030493
100,10,1,0.00304098
100,10,1,0.00301433
100,10,1,0.00302942
100,10,2,0.00158079
100,10,2,0.00163124
100,10,2,0.0015806
100,10,2,0.00156994
100,10,2,0.00155954
100,10,2,0.00156233
100,10,2,0.00156245
100,10,2,0.00156813
100,10,2,0.00158832
100,10,2,0.00156422
100,10,3,0.00113275
100,10,3,0.00112648
100,10,3,0.0011003
100,10,3,0.00107534
100,10,3,0.00107388
100,10,3,0.00113347
100,10,3,0.00109499
100,10,3,0.00106585
100,10,3,0.00106747
100,10,3,0.0011142
100,10,4,0.00086596
100,10,4,0.000867391
100,10,4,0.000870466
100,10,4,0.000830579
100,10,4,0.000860858
100,10,4,0.000837588
100,10,4,0.000871611
100,10,4,0.000831723
100,10,4,0.000871706
100,10,4,0.000895882
100,10,5,0.000732183
100,10,5,0.000744081
100,10,5,0.000712228
100,10,5,0.000710726
100,10,5,0.000727749
100,10,5,0.000753689
100,10,5,0.00073657
100,10,5,0.000794029
100,10,5,0.000786448
100,10,5,0.000787067
100,10,6,0.000698662
100,10,6,0.000650525
100,10,6,0.00067637
100,10,6,0.000654793
100,10,6,0.000687766
100,10,6,0.000655413
100,10,6,0.000699592
100,10,6,0.000587225
100,10,6,0.000703025
100,10,6,0.000647187
100,10,7,0.000662923
100,10,7,0.000576401
100,10,7,0.00056026
100,10,7,0.000632572
100,10,7,0.000602293
100,10,7,0.000687718
100,10,7,0.000602889
100,10,7,0.000602531
100,10,7,0.000609803
100,10,7,0.000622559
100,10,8,0.00076139
100,10,8,0.000554419
100,10,8,0.000557804
100,10,8,0.000648499
100,10,8,0.000703979
100,10,8,0.000630641
100,10,8,0.000553751
100,10,8,0.000560308
100,10,8,0.000663972
100,10,8,0.000603747
100,10,9,0.00071826
100,10,9,0.000784612
100,10,9,0.000764251
100,10,9,0.00074234
100,10,9,0.000763512
100,10,9,0.000750613
100,10,9,0.00075686
100,10,9,0.000741887
100,10,9,0.000787497
100,10,9,0.000779009
100,10,10,0.000749135
100,10,10,0.000712752
100,10,10,0.000719285
100,10,10,0.0007581
100,10,10,0.000722671
100,10,10,0.000778389
100,10,10,0.000710988
100,10,10,0.000651145
100,10,10,0.000736403
100,10,10,0.000739098
